Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,432.936554,436.113861,424.890411,426.696228,407.477661,4670175
2015-08-14,429.850677,444.365692,427.130524,442.057007,422.146576,6369683
2015-08-17,441.622711,441.622711,432.502228,434.628052,415.052246,5428715
2015-08-18,437.051025,437.051025,430.742157,431.610748,412.170837,3315167
2015-08-19,431.565033,439.336884,429.484924,436.411011,416.754852,4438649
2015-08-20,438.856842,438.856842,417.735748,418.901520,400.034027,9504043
2015-08-21,416.021393,416.890015,410.078217,415.084198,396.388611,10025260
2015-08-24,402.306396,402.306396,373.962067,379.242340,362.161102,17817853
2015-08-25,384.408325,393.460236,376.339355,387.745636,370.281403,24752134
2015-08-26,387.585632,399.929138,384.019745,390.145782,372.573456,9477757
2015-08-27,396.271790,402.877838,391.814423,397.346130,379.449524,13498773
2015-08-28,400.020569,403.677887,395.951782,398.831940,380.868378,5385107
2015-08-31,399.037659,399.037659,390.328644,391.288696,373.664856,10354471
2015-09-01,390.374359,390.374359,381.779633,383.951172,366.657837,10822848
2015-09-02,388.591400,391.837280,385.208374,388.385681,370.892609,9826184
2015-09-03,390.442932,393.505951,386.031281,390.351501,372.769836,5829989
2015-09-04,388.454254,388.454254,377.207947,382.145355,364.933380,8099974
2015-09-07,383.219696,385.848419,378.396606,380.911011,363.754608,5117316
2015-09-08,382.191071,389.940033,377.207947,387.951385,370.477875,6450234
2015-09-09,393.620239,401.712067,388.819977,399.586243,381.588715,8670347
2015-09-10,393.620239,397.963318,391.105804,396.363220,378.510864,5537203
2015-09-11,398.649048,400.523438,391.425842,393.597382,375.869598,5317416
2015-09-14,393.963104,395.768921,389.460022,394.923157,377.135620,3982036
2015-09-15,394.077393,397.734741,391.151520,396.363220,378.510864,5754894
2015-09-16,398.694794,401.094910,395.540344,398.900513,380.933868,6712405
2015-09-18,401.597778,411.221130,401.003479,409.346771,390.909607,17130726
2015-09-21,402.306396,406.055145,400.500580,401.437775,383.356873,6366093
2015-09-22,402.306396,404.546509,386.076996,387.631348,370.172241,7872762
2015-09-23,385.391235,391.700134,384.019745,388.751404,371.241913,7610630
2015-09-24,387.677063,387.677063,381.619629,382.808258,365.566406,14538491
2015-09-28,383.928314,384.431183,378.853760,381.391022,364.213013,5812319
2015-09-29,379.448090,388.705688,377.665131,384.362610,367.050720,7926735
